user,item,time,rating
200067,cmhd-Printers-All-Canon_BJC-5100,979948800,4.0
200067,Ericsson_R320sc_GSM_World_Phone,979948800,5.0
200067,Acer_Professional_Series_79g_17___16__Viewable__Monitor__CRT_Monitors_90_38A12_005,979948800,4.0
200067,Samsung_SGH_2400_Cell_Phone,981072000,4.0
200067,Agfa_ePhoto_CL50_Digital_Camera,981072000,3.0
200067,S0558622-Astra_2000U,981676800,4.0
200067,S0113404_Mustek__Inc__PlugNScan,982886400,3.0
200067,cmhd-Monitors-All-Hitachi_SuperScan_643,982886400,4.0
200067,i860,983232000,4.0
200067,419757_Fuji_Film_MX_2900_Digital_Camera_Kit,983491200,4.0
200067,Philips_Savvy_DualBand_Cellular_Phone,983750400,4.0
200067,cmhd-Monitors-All-Sony_CPD_L181A,984700800,4.0
200067,cmhd-Printers-All-Canon_BJC-50,984787200,4.0
200067,cmhd-Modems-All-Genius_GM56PCI_L,985305600,3.0
200067,Samsung_SGH_A100_GSM_Cellular_Phone_Cellular_Phone,985305600,4.0
200067,cmhd-Printers-All-HP_DeskJet_350,985651200,4.0
200067,cmhd-Monitors-All-Philips_107MB,986083200,3.0
200067,Philips_Ozeo_Cellular_Phone,987120000,5.0
200067,S0044834_Hewlett-Packard_CapShare_920,987638400,3.0
200067,Epson_EPLl_5700i_Laser_Printer__Printers_C363001,988070400,4.0
200067,Sony_Ericsson_A_2618s_Cellular_Phone,988070400,3.0
200067,Sony_Cybershot_DSC_P1_Digital_Camera_Kit_3__I___Camera_dscp1ik3,988588800,5.0
200067,cmhd-Monitors-All-Viewsonic_VP181,988934400,5.0
200067,cmhd-Scanners-All-Umax_Astra_3450,989020800,3.0
200067,Lexmark_Optra_E312L_Laser_Printer__Printers_13E0000,989539200,4.0
200067,elec_Cameras-Digital_NikonCoolpixx-Nikon_Coolpix_880,989625600,5.0
200067,S0052732_Panasonic_PanaSync_PL70i,990144000,4.0
200067,Nokia_7160_Cellular_Phone,991440000,5.0
200067,elec-Photo-Cameras-All-Olympus_E_10,992044800,4.0
200067,Elekratek_Siemens_A35_Mobile_Phone_socks_6_Pack_ISOCK_IPD,992649600,4.0
200067,elec-Photo-Cameras-All-Sony_MVC-CD1000,993168000,4.0
200067,S0545955-OmniBook__500,993772800,3.0
200067,pr-Scanners_Agfa_SnapScan_e50_Desktop_Flatbed_scanner_LHNQ6,994982400,2.0
200067,cmhd-Printers-All-Epson_Stylus_Color_480SX,995587200,4.0
200067,S0464565_3Com_Corporation_Courier_V_Everything_56K,996883200,4.0
200067,S0461962_Microtek_Lab__Inc__ScanMaker_4600_with_Digital_Camera,997401600,4.0
200067,511602_Hewlett_Packard_PhotoSmart_912,1000252800,5.0
200067,elec-Audio-Portable-All-Creative_Labs_Jukebox,1000425600,4.0
200067,cmhd-Scanners-All-Umax_Astra_4000_Series_4000U,1002326400,3.0
200067,S0636578-S_800,1003190400,4.0
77chelle,pr-Toshiba_50A60_50_in_Rear_Projection_Television,981072000,5.0
77chelle,pr-Vitamix_Super_5000_Blender,982368000,5.0
77chelle,hmgd-Small_Appliances-All-DeLonghi_Alfredo_Toaster_Oven_XU450,982627200,4.0
77chelle,hmgd-Microwaves-Sharp-Sharp_R430C_series_Family_Size_Microwave,982800000,4.0
77chelle,hmgd_Indoor_Grills-Salton_Foreman-Fusion_Grill,982886400,5.0
77chelle,Hot_Wheels_100_Car_Racing_Carry_Case,983750400,3.0
77chelle,Little_People_Animal_Sounds_Farm,984096000,3.0
77chelle,Ready_Steady_Ride_On,985219200,3.0
77chelle,Bubble_Tumbler,986515200,4.0
77chelle,Furby_Babies,986601600,1.0
77chelle,Toy_Story_Free_Wheel_Buggy,987465600,4.0
77chelle,kifm-B-BEquip-Car_Seats-Infant_Toddler_Convertibles-Evenflo_Ultara_I,989280000,3.0
77chelle,Eddie_Bauer_MBP_High_Back_Booster,991612800,4.0
77chelle,Hangman_32724266,995846400,1.0
77chelle,well-Personal-Electric_Razors-All-Panasonic_Smooth_Operator_ES208A,995932800,3.0
77chelle,hmgd-Small_Appliances-All-Toastmaster__37_Cu__Ft__Cool_Wall_Toaster_Oven_Broiler_TM357,1009497600,1.0
AVaddict,LGIC_LG_TM510_Cellular_Phone,989452800,5.0
AVaddict,elec_Car_Stereo-Speakers-Polk_PolkEXProductFamilyily-Polk_EX2560,999648000,4.0
AVaddict,615642_Kenwood_75W_x_2_Amplifier_KAC_X201T,1000252800,5.0
AVaddict,513954_Sony_300W_x_1_Class_D_Amplifier_XM_6001GXD,1002412800,5.0
AVaddict,elec-Car_Stereo-Speakers-All-Infinity_Kappa_Perfect_12_1,1003708800,5.0
AVaddict,Infinity_Kappa_Perfect_6_1_625264,1004832000,5.0
